  -14.5156   0.25021E-07
  -13.1461   0.86836E-07
  -11.7764   0.17041E-06
  -10.4070   0.12915E-06
   -9.0384   0.59938E-07
   -7.6713   0.22100E-06
   -6.3060   0.54300E-07
   -4.9432   0.20545E-06
1999-07-05 16:42:57 31 1
  -31.7647   0.13418E-05
  -31.5982   0.25894E-05
  -31.4318   0.27657E-05
  -31.2653   0.18378E-05
  -30.9323   0.52918E-06
  -30.5993   0.14116E-05
  -30.2662   0.42160E-06
  -29.9332   0.60618E-06
  -29.6002   0.42619E-06
  -29.2671   0.98288E-06
  -28.6010   0.12442E-05
  -28.2679   0.75180E-06
  -27.2686   0.57346E-06
  -26.6024   0.46644E-06
  -25.2700   0.75110E-06
  -23.9377   0.26436E-06
  -22.6056   0.13706E-06
  -21.2738   0.15413E-07
  -19.9423   0.41677E-08
  -18.6112   0.60353E-08
  -17.2806   0.15700E-07
  -15.9506   0.12581E-07
  -14.6213   0.87438E-07
  -13.2927   0.30339E-06
  -11.9650   0.31703E-06
  -10.6382   0.19661E-06
   -9.3124   0.21757E-06
   -7.9877   0.50921E-06
   -6.6642   0.25846E-06
   -5.3419   0.14309E-06
   -4.0210   0.23588E-06
1999-07-05 16:44:59 31 1
  -31.8260   0.78019E-05
  -31.6627   0.11439E-04
  -31.4994   0.14305E-05
  -31.3360   0.26767E-05
  -31.0091   0.10247E-05
  -30.6820   0.60256E-06
  -30.3547   0.67189E-06
  -30.0272   0.14727E-05
  -29.6994   0.16077E-05
  -29.3714   0.18018E-05
  -28.7150   0.88532E-06
  -28.3866   0.39030E-06
  -27.4001   0.70925E-06
  -26.7412   0.11133E-05
  -25.4223   0.12601E-05
  -24.1011   0.36366E-06
  -22.7777   0.72795E-07
  -21.4526   0.19584E-07
  -20.1258   0.56221E-07
  -18.7977   0.57717E-07
  -17.4685   0.10287E-06
  -16.1384   0.42579E-06
  -14.8077   0.28327E-06
  -13.4766   0.27958E-06
  -12.1454   0.63168E-06
  -10.8143   0.68360E-06
   -9.4836   0.36804E-06
   -8.1535   0.34666E-06
   -6.8243   0.13237E-05
   -5.4961   0.70194E-06
   -4.1694   0.46484E-07
1999-07-05 16:46:59 30 1
  -31.7553   0.24166E-05
  -31.5896   0.37827E-05
  -31.4238   0.69135E-05
  -31.0921   0.87438E-05
  -30.7600   0.18429E-05
  -30.4275   0.96139E-06
  -30.0948   0.45835E-06
  -29.7617   0.11847E-05
  -29.4281   0.88064E-06
  -28.7604   0.66267E-07
  -28.4261   0.19557E-06
  -27.4216   0.14002E-07
  -26.7501   0.84489E-08
  -25.4052   0.22398E-08
  -24.0569   0.30535E-08
  -22.7055   0.26056E-07
  -21.3517   0.29424E-07
  -19.9959   0.39048E-07
  -18.6384   0.17939E-07
  -17.2800   0.15136E-06
  -15.9209   0.73148E-07
  -14.5617   0.53064E-07
  -13.2029   0.52240E-07
  -11.8449   0.17442E-07
  -10.4882   0.64580E-07
   -9.1334   0.10688E-06
   -7.7808   0.94081E-07
   -6.4310   0.68739E-07
   -5.0844   0.24934E-06
   -3.7416   0.14629E-06
1999-07-05 16:49:00 30 1
  -31.7656   0.29302E-05
  -31.5962   0.39283E-05
  -31.4268   0.26327E-05
  -31.0877   0.32591E-05
  -30.7483   0.78145E-06
  -30.4087   0.10644E-05
  -30.0689   0.12117E-05
  -29.7288   0.90282E-06
  -29.3884   0.11896E-05
  -28.7072   0.95039E-06
  -28.3662   0.12193E-05
  -27.3423   0.36669E-06
  -26.6585   0.51286E-06
  -25.2898   0.22819E-06
  -23.9190   0.33389E-06
  -22.5467   0.56572E-07
  -21.1733   0.11353E-06
  -19.7994   0.93261E-07
  -18.4254   0.59238E-07
  -17.0519   0.37584E-07
  -15.6792   0.34962E-07
  -14.3079   0.13213E-06
  -12.9385   0.65328E-07
  -11.5715   0.23206E-06
  -10.2074   0.74251E-07
   -8.8466   0.50350E-07
   -7.4896   0.43251E-08
   -6.1370   0.35719E-08
   -4.7892   0.53691E-08
   -3.4466   0.17231E-07
1999-07-05 17:19:57 31 1
  -31.7420   0.38512E-05
  -31.5855   0.10755E-05
  -31.4289   0.32048E-06
  -31.2722   0.25457E-05
  -30.9586   0.15392E-05
  -30.6446   0.29881E-06
  -30.3303   0.27638E-06
  -30.0157   0.12428E-05
  -29.7006   0.11779E-05
  -29.3851   0.11267E-05
  -28.7534   0.59566E-06
  -28.4370   0.12918E-05
  -27.4858   0.92363E-07
