2017-01-04 08:00:00 0.0 -11.8 1008.2 73.14 12.7
2017-01-04 09:00:00 0.0 -11.8 1009.1 88.9 12.2
2017-01-04 10:00:00 0.0 -11.8 1009.7 82.8 11.8
2017-01-04 11:00:00 0.0 -11.8 1010.3 67.37 12.0
2017-01-04 12:00:00 0.0 -11.9 1010.0 64.85 12.4
2017-01-04 13:00:00 0.0 -11.8 1009.8 56.51 10.9
2017-01-04 14:00:00 0.0 -11.6 1009.1 55.13 10.6
2017-01-04 15:00:00 0.0 -11.8 1009.0 47.23 11.8
2017-01-04 16:00:00 0.0 -12.0 1009.1 53.33 12.2
2017-01-04 17:00:00 0.0 -11.9 1009.3 51.96 10.7
2017-01-04 18:00:00 0.0 -12.4 1009.3 46.3 10.7
2017-01-04 19:00:00 0.0 -12.1 1008.9 46.2 10.4
2017-01-04 20:00:00 0.0 -12.3 1009.4 53.13 8.7
2017-01-04 21:00:00 0.0 -12.4 1008.6 48.73 9.3
2017-01-04 22:00:00 0.0 -13.2 1008.9 46.85 8.4
2017-01-04 23:00:00 0.0 -12.8 1009.1 49.7 8.5
2017-01-05 00:00:00 0.0 -12.9 1009.2 44.44 8.3
2017-01-05 01:00:00 0.0 -13.8 1010.2 49.85 7.2
2017-01-05 02:00:00 0.0 -13.8 1010.3 48.52 6.1
2017-01-05 03:00:00 0.0 -12.7 1010.9 45.0 4.9
2017-01-05 04:00:00 0.0 -12.4 1011.1 42.33 4.7
2017-01-05 05:00:00 0.0 -12.2 1012.1 42.29 5.0
2017-01-05 06:00:00 0.0 -12.5 1012.7 48.23 5.4
2017-01-05 07:00:00 0.0 -11.9 1013.1 45.31 6.0
2017-01-05 08:00:00 0.0 -11.8 1013.9 36.23 6.5
2017-01-05 09:00:00 0.0 -11.6 1013.9 44.41 7.3
2017-01-05 10:00:00 0.0 -11.9 1014.6 47.78 8.7
2017-01-05 11:00:00 0.0 -13.4 1015.9 45.61 8.4
2017-01-05 12:00:00 0.0 -13.1 1015.6 56.84 8.7
2017-01-05 13:00:00 0.0 -14.2 1015.8 56.12 8.4
2017-01-05 14:00:00 0.0 -14.0 1015.9 58.59 8.8
2017-01-05 15:00:00 0.0 -14.3 1015.7 57.67 9.1
2017-01-05 16:00:00 0.0 -13.4 1016.3 58.15 9.2
2017-01-05 17:00:00 0.0 -13.5 1015.6 57.4 9.1
2017-01-05 18:00:00 0.0 -13.6 1015.6 50.91 8.9
2017-01-05 19:00:00 0.0 -13.4 1015.6 47.31 8.0
2017-01-05 20:00:00 0.0 -13.2 1015.0 44.12 9.1
2017-01-05 21:00:00 0.0 -6.8 1014.2 41.21 8.9
2017-01-05 22:00:00 0.0 -6.1 1013.2 40.78 9.1
2017-01-05 23:00:00 0.0 -7.8 1012.5 54.2 8.4
2017-01-06 00:00:00 0.0 -7.6 1011.1 55.42 8.3
2017-01-06 01:00:00 0.0 -7.6 1009.7 59.34 7.9
2017-01-06 02:00:00 0.0 -6.3 1007.5 60.16 8.0
2017-01-06 03:00:00 0.0 -6.4 1005.9 58.41 8.3
2017-01-06 04:00:00 0.0 -6.7 1004.4 59.77 7.8
