! data from Xianmin @ http://knossos.eas.ualberta.ca/xianmin/nadja/
! format: date; next line; z (m), u (m/s), v (m/s); etc.
2002/01/05 00:00:00 22 2
  -0.49  0.0558 0.0100
  -1.54  0.0558 0.0100
  -2.65  0.0559 0.0104
  -3.82  0.0566 0.0108
  -5.08  0.0575 0.0094
  -6.44  0.0589 0.0066
  -7.93  0.0624 0.0016
  -9.57  0.0581 -0.0066
 -11.41  0.0489 -0.0075
 -13.47  0.0433 -0.0063
 -15.81  0.0407 -0.0061
 -18.50  0.0385 -0.0062
 -21.60  0.0366 -0.0058
 -25.21  0.0357 -0.0053
 -29.44  0.0360 -0.0051
 -34.43  0.0363 -0.0056
 -40.34  0.0363 -0.0066
 -47.37  0.0369 -0.0059
 -55.76  0.0379 -0.0045
 -65.81  0.0402 -0.0038
 -77.85  0.0450 -0.0050
 -92.33  0.0425 -0.0027
2002/02/14 00:00:00 22 2
  -0.49  0.0893 0.0185
  -1.54  0.0893 0.0185
  -2.65  0.0900 0.0200
  -3.82  0.0919 0.0208
  -5.08  0.0950 0.0198
  -6.44  0.0991 0.0176
  -7.93  0.1039 0.0122
  -9.57  0.1088 -0.0016
 -11.41  0.0988 -0.0119
 -13.47  0.0877 -0.0124
 -15.81  0.0816 -0.0124
 -18.50  0.0778 -0.0123
 -21.60  0.0754 -0.0115
 -25.21  0.0747 -0.0103
 -29.44  0.0751 -0.0098
 -34.43  0.0764 -0.0103
 -40.34  0.0772 -0.0113
 -47.37  0.0791 -0.0096
 -55.76  0.0808 -0.0078
 -65.81  0.0826 -0.0070
 -77.85  0.0851 -0.0081
 -92.33  0.0827 -0.0083
2002/02/19 00:00:00 22 2
  -0.49  0.1017 0.0256
  -1.54  0.1017 0.0256
  -2.65  0.1020 0.0264
  -3.82  0.1034 0.0275
  -5.08  0.1050 0.0276
  -6.44  0.1089 0.0258
  -7.93  0.1168 0.0220
  -9.57  0.1272 0.0140
 -11.41  0.1262 -0.0022
 -13.47  0.1121 -0.0077
 -15.81  0.1015 -0.0092
 -18.50  0.0957 -0.0098
 -21.60  0.0949 -0.0093
 -25.21  0.0961 -0.0091
 -29.44  0.0986 -0.0108
 -34.43  0.0997 -0.0105
 -40.34  0.1018 -0.0110
 -47.37  0.1050 -0.0108
 -55.76  0.1092 -0.0103
 -65.81  0.1146 -0.0102
 -77.85  0.1205 -0.0134
 -92.33  0.1200 -0.0149
2002/02/24 00:00:00 22 2
  -0.49  0.0809 0.0201
  -1.54  0.0809 0.0201
  -2.65  0.0809 0.0201
  -3.82  0.0812 0.0209
  -5.08  0.0834 0.0203
  -6.44  0.0866 0.0186
  -7.93  0.0909 0.0160
  -9.57  0.0960 0.0082
 -11.41  0.0956 -0.0035
 -13.47  0.0880 -0.0071
 -15.81  0.0832 -0.0085
 -18.50  0.0802 -0.0101
 -21.60  0.0794 -0.0105
 -25.21  0.0806 -0.0098
 -29.44  0.0821 -0.0083
 -34.43  0.0820 -0.0083
 -40.34  0.0829 -0.0097
 -47.37  0.0838 -0.0099
 -55.76  0.0857 -0.0085
 -65.81  0.0887 -0.0084
 -77.85  0.0936 -0.0102
 -92.33  0.0932 -0.0106
2002/03/01 00:00:00 22 2
  -0.49  0.0754 0.0034
