 -126.25  6.09666729
 -123.75  6.09666729
 -121.25  6.09666729
 -118.75  6.09666729
 -116.25  6.09666729
 -113.75  6.09666729
 -111.25  6.09666729
 -108.75  6.09666729
 -106.25  6.09666729
 -103.75  6.09749985
 -101.25  6.09749985
 -98.75  6.09666729
 -96.25  6.09666729
 -93.75  6.09749985
 -91.25  6.10000038
 -88.75  6.09916687
 -86.25  6.09666729
 -83.75  6.09666729
 -81.25  6.09666729
 -78.75  6.09666729
 -76.25  6.09666729
 -73.75  6.09666729
 -71.25  6.09666729
 -68.75  6.09666729
 -66.25  6.09666729
 -63.75  6.09666729
 -61.25  6.09666729
 -58.75  6.09666729
 -56.25  6.09666729
 -53.75  6.09666729
 -51.25  6.09666729
 -48.75  6.09666729
 -46.25  6.09666729
 -43.75  6.09666729
 -41.25  6.09666729
 -38.75  6.09666729
 -36.25  6.09666729
 -33.75  6.09666729
 -31.25  6.09916687
 -28.75  6.10000038
 -26.25  6.10000038
 -23.75  6.10000038
 -21.25  6.10000038
 -18.75  6.10000038
 -16.25  6.10000038
 -13.75  6.09666729
 -11.25  6.09666729
 -8.75  6.09666729
 -6.25  6.09666729
 -3.75  6.10000038
 -1.25  6.10000038
1976/03/26 18:00:00  56 1
 -138.75  6.22000027
 -136.25  6.22000027
 -133.75  6.22000027
 -131.25  6.22000027
 -128.75  6.22000027
 -126.25  6.22000027
 -123.75  6.22000027
 -121.25  6.22000027
 -118.75  6.22000027
 -116.25  6.22000027
 -113.75  6.22000027
 -111.25  6.22000027
 -108.75  6.21666718
 -106.25  6.21666718
 -103.75  6.21583366
 -101.25  6.21666718
 -98.75  6.21666718
 -96.25  6.21666718
 -93.75  6.21583366
 -91.25  6.21333313
 -88.75  6.22000027
 -86.25  6.22000027
 -83.75  6.21666718
 -81.25  6.21666718
 -78.75  6.21666718
 -76.25  6.21666718
 -73.75  6.21666718
 -71.25  6.21666718
 -68.75  6.21416664
 -66.25  6.21416664
 -63.75  6.21333313
 -61.25  6.21333313
 -58.75  6.21333313
 -56.25  6.21333313
 -53.75  6.21333313
 -51.25  6.21333313
 -48.75  6.21333313
 -46.25  6.21333313
 -43.75  6.21250057
 -41.25  6.21000004
 -38.75  6.21000004
 -36.25  6.21000004
 -33.75  6.21083355
 -31.25  6.21333313
 -28.75  6.21000004
 -26.25  6.21000004
 -23.75  6.21000004
 -21.25  6.21000004
 -18.75  6.21000004
 -16.25  6.20666695
 -13.75  6.20666695
 -11.25  6.21000004
 -8.75  6.20916653
 -6.25  6.20916653
 -3.75  6.21333313
 -1.25  6.21916676
1976/03/27 00:00:00  56 1
 -138.75  6.22125053
 -136.25  6.22375011
 -133.75  6.22375011
 -131.25  6.22125053
 -128.75  6.22000027
 -126.25  6.22000027
 -123.75  6.22000027
 -121.25  6.22000027
 -118.75  6.22000027
 -116.25  6.22000027
 -113.75  6.22000027
 -111.25  6.22000027
 -108.75  6.22000027
 -106.25  6.22000027
 -103.75  6.22000027
 -101.25  6.22000027
 -98.75  6.22000027
 -96.25  6.22000027
 -93.75  6.22000027
 -91.25  6.22000027
 -88.75  6.22000027
 -86.25  6.22000027
 -83.75  6.22000027
 -81.25  6.21500015
 -78.75  6.21500015
 -76.25  6.21000004
 -73.75  6.21000004
 -71.25  6.21000004
 -68.75  6.21000004
 -66.25  6.21000004
 -63.75  6.21000004
 -61.25  6.21000004
 -58.75  6.21000004
 -56.25  6.21000004
 -53.75  6.21000004
 -51.25  6.21000004
 -48.75  6.21000004
 -46.25  6.21000004
 -43.75  6.21000004
 -41.25  6.21000004
 -38.75  6.21000004
 -36.25  6.21000004
 -33.75  6.21000004
 -31.25  6.21000004
 -28.75  6.21000004
 -26.25  6.21000004
 -23.75  6.21000004
 -21.25  6.21000004
 -18.75  6.21000004
 -16.25  6.21000004
 -13.75  6.21000004
 -11.25  6.21000004
 -8.75  6.20875072
 -6.25  6.20499992
 -3.75  6.19999981
 -1.25  6.21000004
1976/03/27 06:00:00  56 1
 -138.75  6.22749996
 -136.25  6.22749996
 -133.75  6.22749996
 -131.25  6.22749996
 -128.75  6.22687531
 -126.25  6.22562504
 -123.75  6.22500038
 -121.25  6.22500038
 -118.75  6.22437572
 -116.25  6.22312546
 -113.75  6.22328186
 -111.25  6.22484398
 -108.75  6.22500038
 -106.25  6.22500038
 -103.75  6.22500038
 -101.25  6.22500038
 -98.75  6.22500038
 -96.25  6.22500038
 -93.75  6.22437572
 -91.25  6.22249985
 -88.75  6.22249985
 -86.25  6.22249985
 -83.75  6.22249985
 -81.25  6.22249985
 -78.75  6.22187519
 -76.25  6.22000027
 -73.75  6.22000027
 -71.25  6.21625042
 -68.75  6.21625042
 -66.25  6.21812534
 -63.75  6.21750069
 -61.25  6.21562481
 -58.75  6.21687508
 -56.25  6.21500015
 -53.75  6.21500015
 -51.25  6.21500015
 -48.75  6.21500015
 -46.25  6.21500015
 -43.75  6.21500015
 -41.25  6.21500015
 -38.75  6.21500015
 -36.25  6.21500015
 -33.75  6.21500015
 -31.25  6.21500015
 -28.75  6.21250057
 -26.25  6.21250057
 -23.75  6.21250057
 -21.25  6.21250057
 -18.75  6.21250057
 -16.25  6.21250057
 -13.75  6.21250057
 -11.25  6.21250057
 -8.75  6.21250057
 -6.25  6.21250057
 -3.75  6.21250057
 -1.25  6.21500015
1976/03/27 12:00:00  56 1
 -138.75  6.2300005
 -136.25  6.2300005
 -133.75  6.2300005
 -131.25  6.2300005
 -128.75  6.2300005
 -126.25  6.2300005
 -123.75  6.2300005
 -121.25  6.2300005
 -118.75  6.2300005
 -116.25  6.2300005
 -113.75  6.2300005
 -111.25  6.2300005
 -108.75  6.22749996
 -106.25  6.2300005
 -103.75  6.2300005
 -101.25  6.2300005
 -98.75  6.2300005
 -96.25  6.2300005
 -93.75  6.22749996
 -91.25  6.22000027
 -88.75  6.22000027
 -86.25  6.22000027
 -83.75  6.22000027
 -81.25  6.22000027
 -78.75  6.22000027
 -76.25  6.22000027
 -73.75  6.22000027
 -71.25  6.22000027
 -68.75  6.22000027
 -66.25  6.22000027
 -63.75  6.22000027
 -61.25  6.22000027
 -58.75  6.22000027
 -56.25  6.22000027
 -53.75  6.22000027
 -51.25  6.22000027
 -48.75  6.22000027
 -46.25  6.22000027
 -43.75  6.22000027
 -41.25  6.22000027
 -38.75  6.22000027
 -36.25  6.22000027
 -33.75  6.22000027
 -31.25  6.22000027
 -28.75  6.2300005
 -26.25  6.2300005
 -23.75  6.2300005
 -21.25  6.2300005
 -18.75  6.23250008
 -16.25  6.24000072
 -13.75  6.24000072
 -11.25  6.24000072
 -8.75  6.24000072
 -6.25  6.24000072
 -3.75  6.24000072
 -1.25  6.24750042
1976/03/27 18:00:00  56 1
 -138.75  6.26000023
 -136.25  6.26000023
 -133.75  6.26000023
 -131.25  6.26000023
 -128.75  6.26000023
 -126.25  6.26000023
 -123.75  6.26000023
 -121.25  6.26000023
 -118.75  6.26000023
 -116.25  6.26000023
 -113.75  6.26000023
 -111.25  6.26000023
 -108.75  6.26000023
 -106.25  6.26000023
 -103.75  6.26000023
 -101.25  6.26000023
 -98.75  6.26000023
 -96.25  6.26000023
 -93.75  6.26000023
 -91.25  6.26000023
 -88.75  6.26000023
 -86.25  6.26000023
 -83.75  6.26000023
 -81.25  6.26000023
 -78.75  6.26000023
 -76.25  6.26000023
 -73.75  6.26000023
 -71.25  6.26000023
 -68.75  6.26000023
 -66.25  6.26000023
 -63.75  6.26000023
 -61.25  6.26749992
 -58.75  6.27000046
 -56.25  6.27000046
 -53.75  6.27000046
 -51.25  6.27000046
 -48.75  6.27000046
 -46.25  6.27000046
 -43.75  6.27000046
 -41.25  6.27000046
 -38.75  6.27000046
 -36.25  6.27000046
 -33.75  6.27000046
 -31.25  6.27000046
 -28.75  6.27000046
 -26.25  6.27000046
 -23.75  6.27000046
 -21.25  6.27000046
 -18.75  6.27000046
 -16.25  6.27000046
 -13.75  6.27000046
 -11.25  6.27000046
 -8.75  6.27000046
 -6.25  6.27000046
 -3.75  6.27000046
 -1.25  6.27000046
1976/03/28 00:00:00  56 1
 -138.75  6.25250053
 -136.25  6.25250053
 -133.75  6.25250053
 -131.25  6.25250053
 -128.75  6.25187492
 -126.25  6.25062561
 -123.75  6.25
 -121.25  6.25
 -118.75  6.25
 -116.25  6.25
 -113.75  6.25
 -111.25  6.25
 -108.75  6.25
 -106.25  6.25250053
 -103.75  6.25250053
 -101.25  6.25250053
 -98.75  6.25062561
 -96.25  6.25250053
 -93.75  6.25250053
 -91.25  6.25250053
 -88.75  6.25500011
 -86.25  6.25500011
 -83.75  6.25500011
 -81.25  6.25500011
 -78.75  6.25500011
 -76.25  6.25750065
 -73.75  6.25750065
 -71.25  6.25750065
 -68.75  6.25750065
 -66.25  6.25750065
 -63.75  6.26000023
 -61.25  6.26187515
 -58.75  6.26249981
 -56.25  6.26249981
 -53.75  6.26249981
 -51.25  6.26249981
 -48.75  6.26249981
 -46.25  6.26249981
 -43.75  6.26249981
 -41.25  6.26249981
 -38.75  6.26249981
 -36.25  6.26249981
 -33.75  6.26000023
 -31.25  6.26187515
 -28.75  6.26249981
 -26.25  6.26249981
 -23.75  6.26249981
 -21.25  6.26249981
 -18.75  6.26000023
 -16.25  6.26249981
 -13.75  6.26187515
 -11.25  6.26187515
 -8.75  6.26249981
 -6.25  6.26249981
 -3.75  6.26249981
 -1.25  6.26249981
1976/03/28 06:00:00  56 1
 -138.75  6.25333405
 -136.25  6.25333405
 -133.75  6.25333405
 -131.25  6.25333405
 -128.75  6.25333405
 -126.25  6.25333405
 -123.75  6.2541666
 -121.25  6.25583363
 -118.75  6.25666714
 -116.25  6.25666714
 -113.75  6.25666714
 -111.25  6.25666714
 -108.75  6.25666714
 -106.25  6.25666714
 -103.75  6.25666714
 -101.25  6.25666714
 -98.75  6.25666714
 -96.25  6.25666714
 -93.75  6.25666714
 -91.25  6.25666714
 -88.75  6.25666714
 -86.25  6.25666714
 -83.75  6.25666714
 -81.25  6.25666714
 -78.75  6.25666714
 -76.25  6.25666714
 -73.75  6.25666714
 -71.25  6.25666714
 -68.75  6.25666714
 -66.25  6.25666714
 -63.75  6.25333405
 -61.25  6.25916672
 -58.75  6.25583363
 -56.25  6.25333405
 -53.75  6.25333405
 -51.25  6.25583363
 -48.75  6.25333405
 -46.25  6.25333405
 -43.75  6.25666714
 -41.25  6.25666714
 -38.75  6.25333405
 -36.25  6.25583363
 -33.75  6.25916672
 -31.25  6.25333405
 -28.75  6.25666714
 -26.25  6.25666714
 -23.75  6.25666714
 -21.25  6.25666714
 -18.75  6.25666714
 -16.25  6.25666714
 -13.75  6.25666714
 -11.25  6.25666714
 -8.75  6.25666714
 -6.25  6.25666714
 -3.75  6.25666714
 -1.25  6.25583363
1976/03/28 12:00:00  56 1
 -138.75  6.25666714
 -136.25  6.25666714
 -133.75  6.25666714
 -131.25  6.25666714
 -128.75  6.25666714
 -126.25  6.25666714
 -123.75  6.25666714
 -121.25  6.25666714
 -118.75  6.25666714
 -116.25  6.25666714
 -113.75  6.25666714
 -111.25  6.25666714
 -108.75  6.25666714
 -106.25  6.25666714
 -103.75  6.25666714
 -101.25  6.25666714
 -98.75  6.25750065
 -96.25  6.25750065
 -93.75  6.25916672
 -91.25  6.25666714
 -88.75  6.25666714
 -86.25  6.26000023
 -83.75  6.26000023
 -81.25  6.26249981
 -78.75  6.27000046
 -76.25  6.27000046
 -73.75  6.27000046
 -71.25  6.27000046
 -68.75  6.27000046
 -66.25  6.27000046
 -63.75  6.27000046
 -61.25  6.27000046
 -58.75  6.27000046
 -56.25  6.27000046
 -53.75  6.27000046
 -51.25  6.26749992
 -48.75  6.26749992
 -46.25  6.27000046
 -43.75  6.27000046
 -41.25  6.26666737
 -38.75  6.27000046
 -36.25  6.27000046
 -33.75  6.27000046
 -31.25  6.27000046
 -28.75  6.27083397
 -26.25  6.27333355
 -23.75  6.27333355
 -21.25  6.27333355
 -18.75  6.27250004
 -16.25  6.27250004
 -13.75  6.27333355
 -11.25  6.27083397
 -8.75  6.27083397
 -6.25  6.27000046
 -3.75  6.27750015
 -1.25  6.27916718
1976/03/28 18:00:00  56 1
 -138.75  6.26083374
 -136.25  6.26249981
 -133.75  6.26333332
 -131.25  6.26333332
 -128.75  6.26333332
 -126.25  6.26333332
 -123.75  6.26333332
 -121.25  6.26333332
 -118.75  6.26333332
 -116.25  6.26333332
 -113.75  6.26333332
 -111.25  6.26333332
 -108.75  6.26333332
 -106.25  6.26583385
 -103.75  6.26666737
 -101.25  6.26666737
 -98.75  6.26416683
 -96.25  6.26666737
 -93.75  6.26666737
 -91.25  6.26333332
 -88.75  6.26333332
 -86.25  6.26333332
 -83.75  6.26666737
 -81.25  6.26666737
 -78.75  6.27000046
 -76.25  6.27000046
 -73.75  6.27000046
 -71.25  6.27333355
 -68.75  6.27000046
 -66.25  6.27500057
 -63.75  6.27666664
 -61.25  6.27666664
 -58.75  6.28000069
 -56.25  6.27666664
 -53.75  6.27750015
 -51.25  6.27750015
 -48.75  6.27666664
 -46.25  6.27666664
 -43.75  6.27666664
 -41.25  6.27333355
 -38.75  6.27583313
 -36.25  6.27333355
 -33.75  6.27333355
 -31.25  6.27333355
 -28.75  6.27416706
 -26.25  6.27916718
 -23.75  6.27333355
 -21.25  6.27333355
 -18.75  6.27416706
 -16.25  6.27583313
 -13.75  6.27666664
 -11.25  6.27666664
 -8.75  6.27666664
 -6.25  6.28000069
 -3.75  6.27750015
 -1.25  6.27750015
1976/03/29 00:00:00  56 1
 -138.75  6.25722218
 -136.25  6.25833321
 -133.75  6.2588892
 -131.25  6.2588892
 -128.75  6.2588892
 -126.25  6.2588892
 -123.75  6.2588892
 -121.25  6.2588892
 -118.75  6.2588892
 -116.25  6.2588892
 -113.75  6.2588892
 -111.25  6.2588892
 -108.75  6.2588892
 -106.25  6.2630558
 -103.75  6.26444435
 -101.25  6.26444435
 -98.75  6.26277828
 -96.25  6.2677784
 -93.75  6.2677784
 -91.25  6.26555538
 -88.75  6.26555538
 -86.25  6.26555538
 -83.75  6.2677784
 -81.25  6.26444435
 -78.75  6.27000046
 -76.25  6.26749992
